country,decade,century,trials,battles,population,trials.mil,battles.mil,ln.trials,ln.trials.mil,ln1p.trials,ln1p.trials.mil,battles.tp1,battles.tp2,battles.tp3,battles.mil.tp1,battles.mil.tp2,battles.mil.tp3,weather,urbanization,real.wage,taxes.percap,temperature
Belgium,1740.0,1700.0,0.0,0.0,2166700.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.89,11.061971952,NA,NA
Belgium,1750.0,1700.0,0.0,0.0,2305e3,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.89,11.421230624,NA,NA
Belgium,1760.0,1700.0,0.0,0.0,2443300.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.89,11.251044161,NA,NA
Belgium,1770.0,1700.0,0.0,0.0,2581600.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.89,10.9537786735,NA,NA
Belgium,1780.0,1700.0,0.0,0.0,2719900.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.89,10.1567371596,NA,NA
Belgium,1790.0,1700.0,0.0,0.0,2858200.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.89,9.2353391189,NA,NA
Belgium,1800.0,1800.0,0.0,0.0,2996500.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.524,7.5799081792,NA,NA
Belgium,1810.0,1800.0,0.0,0.0,3342250.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.524,7.7664383459,NA,NA
Belgium,1820.0,1800.0,0.0,0.0,3688e3,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.524,12.558621892,NA,NA
Belgium,1830.0,1800.0,0.0,0.0,4033750.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA,NA,20.524,11.459185515,NA,NA
Belgium,1840.0,1800.0,0.0,0.0,4379500.0,0.0,0.0,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA,NA,20.524,10.7739363837,NA,NA
Belgium,1850.0,1800.0,0.0,0.0,4725250.0,0.0,0.0,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,20.524,10.1313230143,NA,NA
Czech Republic,1300.0,1300.0,0.0,0.0,1851e3,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.944,NA,NA,NA
Czech Republic,1310.0,1300.0,0.0,0.0,1820150.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.944,NA,NA,NA
Czech Republic,1320.0,1300.0,0.0,0.0,1789300.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.944,NA,NA,NA
Czech Republic,1330.0,1300.0,0.0,0.0,1758450.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.944,NA,NA,NA
Czech Republic,1340.0,1300.0,0.0,0.0,1727600.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.944,NA,NA,NA
Czech Republic,1350.0,1300.0,2.0,0.0,1696750.0,1.179,0.0,0.6931471805599453,0.16466662155523393,1.0986122886681098,0.7788660559624828,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.944,NA,NA,NA
Czech Republic,1360.0,1300.0,0.0,0.0,1665900.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.944,NA,NA,NA
Czech Republic,1370.0,1300.0,0.0,0.0,1635050.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.944,NA,NA,NA
Czech Republic,1380.0,1300.0,0.0,0.0,1604200.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.944,NA,NA,NA
Czech Republic,1390.0,1300.0,0.0,0.0,1573350.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,3.944,NA,NA,NA
Czech Republic,1400.0,1400.0,0.0,0.0,1542500.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.159,NA,NA,NA
Czech Republic,1410.0,1400.0,0.0,0.0,1573350.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.159,NA,NA,NA
Czech Republic,1420.0,1400.0,0.0,0.0,1604200.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.159,NA,NA,NA
Czech Republic,1430.0,1400.0,0.0,0.0,1635050.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.159,NA,NA,NA
Czech Republic,1440.0,1400.0,0.0,0.0,1665900.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.159,NA,NA,NA
Czech Republic,1450.0,1400.0,0.0,0.0,1696750.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.159,NA,NA,NA
Czech Republic,1460.0,1400.0,0.0,0.0,1727600.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.159,NA,NA,NA
Czech Republic,1470.0,1400.0,0.0,0.0,1758450.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.159,NA,NA,NA
Czech Republic,1480.0,1400.0,0.0,0.0,1789300.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.159,NA,NA,NA
