year,Antwerp,Amsterdam,London,Oxford,Paris,Strasbourg,Florence,Milan,Naples,Valencia,Madrid,Augsburg,Leipzig,Munich,Vienna,Gdansk,Krakow,Warsaw,Lwow,Hamburg
1471,15.73721253,,12.42433617,9.318252129,9.746631444,11.26544367,12.09415415,,,9.839073286,,,,9.770438402,10.70470595,,9.105988066,,,
1472,14.44254678,,13.77131356,10.32848517,10.22704438,11.54137634,11.59454846,,,10.10402412,,,,10.21883604,10.53736333,,9.006729879,,,
1473,13.83058456,,13.76223678,10.32167758,9.633154675,11.79378173,8.821527517,,,8.847009387,,,,9.952984433,10.56551738,,9.042694236,,,
1474,14.32025558,,13.25762466,9.943218493,9.044203421,11.79575959,7.055860535,,,8.078988362,,,,10.64683529,10.94188026,,9.057920839,,,
1475,14.33891473,,13.03615939,9.777119543,8.770847178,10.83188833,7.324676904,,,9.520103082,,,,10.79129171,10.35755913,,9.076251607,,,
1476,13.83908889,,13.28454441,9.963408311,8.792989012,10.71084749,8.03274801,,,10.25301798,,,,10.5569098,10.6723128,,8.612987195,,,
1477,12.64075529,,12.31437562,9.235781719,9.225382254,9.594573297,7.367076799,,,10.35673853,,,,9.00784011,10.32225091,,8.965798275,,,
1478,11.667099,,11.9262425,8.944681878,8.12772165,9.270173205,8.726891012,,,9.382048369,,,,9.799627325,10.29701697,,9.568236252,,,
1479,12.26517036,,12.49426544,9.370699077,9.004053397,8.820850242,10.9549214,,,9.310049273,,,,9.607084887,10.23636057,,9.7795931,,,
1480,10.49595284,,12.10643354,9.079825155,9.574638078,8.587261146,12.04411844,,,8.652089639,,,,10.0029938,10.14643302,,9.83100962,,,
1481,7.442753608,,10.77004647,8.077534856,7.493707753,7.320344103,11.43306375,,,9.238822253,,,,9.141423454,10.47968622,,9.6055767,,,
1482,9.213747818,,10.01670111,7.51252583,6.580402043,7.320518689,9.973061693,,,9.222297556,,,,8.303715277,10.24161127,,10.04997391,,,
1483,11.80506253,,11.62386258,8.717896933,8.153663485,8.203057358,6.479719001,,,9.00953567,,,,10.42055421,9.575340828,,10.09796919,,,
1484,11.25524086,,12.91768036,9.688260273,10.27598662,8.552303638,5.902992174,,,8.676475776,,,,10.5355941,10.05201897,,10.08760797,,,
1485,9.512328636,,13.48800679,10.11600509,9.362934877,8.701591465,9.537216877,,,8.361346384,,,,10.05185284,10.48528317,,9.713039716,,,
1486,9.078701716,,12.82813059,9.621097939,8.402067394,8.345052017,9.818295564,,,9.298369784,,,,10.05721542,10.39441825,,9.831388444,,,
1487,9.917388765,,12.69518446,9.521388341,8.31217312,10.72488944,8.583007916,,,8.992515859,,,,10.31137026,10.0969099,,9.790168825,,,
1488,8.581698637,,12.75594365,9.566957736,7.935659824,9.895632779,8.888353942,,,10.27133143,,,,10.49729866,10.04995854,,8.753109521,,,
1489,9.090879284,,12.57237105,9.429278289,8.219112238,9.600718749,8.86822831,,,9.874252374,,,,8.733398242,9.907011928,,8.772159942,,,
1490,9.868821262,,12.79630533,9.597228996,7.736448857,9.206384585,10.42313343,,,9.883540303,,,,7.952720785,9.878410499,,9.392433496,,,
1491,10.17922204,,12.54388439,9.407913292,6.521179628,9.231047368,10.46689354,,,9.655584295,,,,7.635819664,9.667788567,,8.752001591,,,
1492,9.822543608,,13.7439884,10.3079913,6.627403698,9.091384898,12.3928976,,,10.88856809,,,,8.965453842,9.699537223,,9.010940423,,,
1493,12.63027983,,13.96246326,10.47184744,7.476443764,9.6066835,12.81317192,,,10.49565357,,,,8.885726074,9.151034803,,10.04863728,,,
1494,13.32220908,,13.69135672,10.26851754,8.899703822,10.79134873,9.45189178,,,10.01062255,,,,10.04069936,8.743290267,,8.877888527,,,
1495,13.20677531,,13.53187559,10.14890669,7.952095875,10.79313401,8.461151531,,,10.06382286,,,,10.1347338,9.526381329,,9.042375247,,,
1496,12.02974099,,12.88534792,9.66401094,8.234737236,12.93093923,6.443470429,,,9.753987525,,,,8.534077882,10.06058585,,8.511565134,,,
1497,12.12803862,,13.30556641,9.979174806,8.260039583,10.69405687,4.149079777,,,9.796130667,,,,8.177055131,10.2950639,,10.4795331,,,
1498,12.10602019,,12.79208828,9.594066208,8.932131242,10.69576849,7.080262939,,,9.818338477,,,,9.460233423,9.847722958,,9.628575329,,,
1499,14.05856779,,13.31780969,9.98835727,9.167757647,10.44696427,8.827155093,,,10.32124562,,,,9.152210064,10.50980901,,8.894630986,,,
1500,12.8480285,11.39121801,12.22791844,9.170938833,8.575968629,8.066612268,9.131395904,,,10.3477928,,,,8.777539288,10.79565154,,9.661384351,,,
1501,11.88039935,11.08994003,11.17672139,8.382541041,7.272711075,6.56879649,6.716563461,,,12.07271048,,,,7.530917366,10.6507642,,10.46268659,,,
1502,11.80905579,11.4590841,11.35592062,8.516940468,6.92837926,9.813623672,6.453165882,,,9.758897682,,7.412853652,,6.989305308,10.57849664,,9.772410097,,,
1503,12.57156642,11.63248396,12.07556624,9.056674678,8.760998441,8.388489661,5.418530327,,,8.84578388,,8.269044835,,8.850791003,10.64980091,,9.566762431,,,
1504,11.87894553,11.76220077,12.66291705,9.49718779,7.879709536,8.144164719,6.331508443,,,10.07145011,,8.455952392,,8.825909514,10.40283217,,8.676353607,,,
1505,11.75283667,11.30301752,13.14947599,9.862106989,7.866375283,8.468157146,4.600865622,,,9.564057233,,10.01482784,,9.528627262,10.40283217,,9.357868467,,,
1506,12.30261989,11.31104519,13.0146749,9.761006176,7.531644584,8.716602859,14.97599931,,,9.196787147,,9.941227452,,9.987117963,10.04172128,,10.49489748,,,
1507,12.2408194,11.34964903,12.84958896,9.637191719,7.08133399,10.34611064,12.6450197,,,9.600390918,,10.03703999,,9.883514645,9.976566032,,9.85292297,,,
1508,12.81765461,11.7509809,13.24867678,9.936507582,7.746607161,8.891182294,11.50903838,,,9.590593078,,9.236282031,,10.34688832,10.18688578,,9.365887357,,,
1509,13.13989017,11.00536664,14.17785935,10.63339452,8.683475567,8.973904931,12.34813186,,,10.57052451,,9.461346433,,10.63509056,10.04641134,,10.25837592,,,
1510,13.23544263,11.67760917,13.8313076,10.3734807,8.90965519,8.200721274,13.72785008,,,10.7538485,,9.651513794,,10.45106873,9.993429307,,10.18017,,,
1511,12.32974913,11.42547449,12.48068837,9.360516281,8.507752567,9.340221862,11.120528,,,10.91415237,,9.265125233,,9.466843872,10.00683513,,10.30731723,,,
1512,11.60063912,11.26532692,10.89228529,8.169213969,7.772742412,7.985661093,9.544900316,,,11.33291145,,9.482104788,,9.209779916,10.1185236,,10.45934049,,,
1513,12.89492368,11.4098291,12.18057174,9.135428808,7.859925936,9.555340144,11.51788217,,,10.71273224,,8.832415403,,9.752603086,9.290842016,,10.61293069,,,
1514,13.59671843,10.97381274,12.43973611,9.329802086,6.962665198,9.413343516,9.973600759,,,10.36126436,,9.41608859,,10.29291757,9.275159233,,10.55846862,,,
